,Time_Stamp,A,B,C,D,SITUACAO,Z
b,2022-01-04 23:43:44,217,227,244,58,2,
1,2022-01-05 00:43:50,213,223,239,58,2,1.0016666666666667
2,2022-01-05 01:43:54,209,218,233,58,2,1.001111111111111
3,2022-01-05 02:44:01,204,214,228,58,2,1.0019444444444443
4,2022-01-05 03:44:07,200,209,222,58,2,1.0016666666666667
5,2022-01-05 04:44:15,196,205,217,58,2,1.002222222222222
6,2022-01-05 05:44:21,192,201,212,58,2,1.0016666666666667
7,2022-01-05 06:44:25,188,196,208,58,2,1.001111111111111
8,2022-01-05 07:44:31,184,192,203,58,2,1.0016666666666667
9,2022-01-05 08:44:35,181,189,199,58,2,1.001111111111111
10,2022-01-05 09:44:41,177,185,195,58,2,1.0016666666666667
11,2022-01-05 10:44:49,174,182,190,58,2,1.002222222222222
12,2022-01-05 11:44:54,170,178,186,58,2,1.0013888888888889
13,2022-01-05 12:44:58,167,175,183,58,2,1.001111111111111
14,2022-01-05 13:45:02,164,172,179,58,2,1.001111111111111
15,2022-01-05 14:45:07,161,169,175,58,2,1.0013888888888889
16,2022-01-05 15:45:11,158,166,172,58,2,1.001111111111111
17,2022-01-05 16:45:16,156,163,169,58,2,1.0013888888888889
18,2022-01-05 17:45:23,153,161,166,58,2,1.0019444444444443
19,2022-01-05 18:45:30,151,158,163,58,2,1.0019444444444443
20,2022-01-05 19:45:37,148,156,160,58,2,1.0019444444444443
21,2022-01-05 20:45:42,146,154,157,58,2,1.0013888888888889
22,2022-01-05 21:45:46,144,151,155,58,2,1.001111111111111
23,2022-01-05 22:45:53,141,149,152,58,2,1.0019444444444443
24,2022-01-05 23:45:58,138,146,149,58,2,1.0013888888888889
25,2022-01-06 00:46:05,135,143,146,58,2,1.0019444444444443
26,2022-01-06 01:46:10,132,140,144,58,2,1.0013888888888889
27,2022-01-06 02:46:21,130,138,141,58,2,1.0030555555555556
28,2022-01-06 03:46:25,128,136,139,58,2,1.001111111111111
29,2022-01-06 04:46:29,126,134,137,58,2,1.001111111111111
30,2022-01-06 05:46:35,124,132,135,58,2,1.0016666666666667
31,2022-01-06 06:46:42,122,130,133,58,2,1.0019444444444443
32,2022-01-06 07:46:46,120,128,131,58,2,1.001111111111111
33,2022-01-06 08:46:51,118,126,129,58,2,1.0013888888888889
34,2022-01-06 09:46:58,116,125,127,58,2,1.0019444444444443
35,2022-01-06 10:47:02,115,123,125,58,2,1.001111111111111
36,2022-01-06 11:47:06,113,121,123,58,2,1.001111111111111
37,2022-01-06 12:47:11,112,119,122,58,2,1.0013888888888889
38,2022-01-06 13:47:15,111,118,121,58,2,1.001111111111111
39,2022-01-06 14:47:19,110,117,119,58,2,1.001111111111111
40,2022-01-06 15:47:25,108,115,118,58,2,1.0016666666666667
41,2022-01-06 18:12:32,105,112,114,58,2,2.418611111111112
42,2022-01-06 19:12:37,104,111,113,58,2,1.0013888888888889
43,2022-01-06 20:12:41,103,109,112,58,2,1.001111111111111
44,2022-01-06 21:12:46,101,108,111,58,2,1.0013888888888889
45,2022-01-06 22:12:51,100,106,109,58,2,1.0013888888888889
46,2022-01-06 23:12:59,98,105,108,58,2,1.002222222222222
47,2022-01-07 00:13:04,97,103,107,58,2,1.0013888888888889
48,2022-01-07 01:13:09,95,102,106,58,2,1.0013888888888889
49,2022-01-07 02:13:16,94,100,104,58,2,1.0019444444444443
50,2022-01-07 03:13:20,93,99,103,58,2,1.001111111111111
51,2022-01-07 04:13:24,92,98,102,58,2,1.001111111111111
52,2022-01-07 05:13:30,91,96,101,58,2,1.0016666666666667
53,2022-01-07 06:13:37,89,95,99,58,2,1.0019444444444443
54,2022-01-07 07:13:43,88,94,98,58,2,1.0016666666666667
55,2022-01-07 08:13:51,87,93,97,58,2,1.002222222222222
56,2022-01-07 09:13:56,86,92,96,58,2,1.0013888888888889
57,2022-01-07 10:14:01,85,91,96,58,2,1.0013888888888889
58,2022-01-07 11:14:08,85,91,95,58,2,1.0019444444444443
59,2022-01-07 12:14:14,84,90,95,58,2,1.0016666666666667
60,2022-01-07 13:14:22,84,90,94,58,2,1.002222222222222
61,2022-01-07 14:14:29,84,89,94,58,2,1.0019444444444443
62,2022-01-07 16:32:40,83,89,94,58,2,2.3030555555555554
63,2022-01-07 17:32:46,83,88,93,58,2,1.0016666666666667
64,2022-01-07 18:32:51,82,88,93,58,2,1.0013888888888889
65,2022-01-07 19:32:57,82,87,92,58,2,1.0016666666666667
66,2022-01-07 20:33:07,81,86,91,58,2,1.0027777777777778
67,2022-01-07 21:33:14,80,85,90,58,2,1.0019444444444443
68,2022-01-07 22:33:21,79,84,89,58,2,1.0019444444444443
69,2022-01-07 23:33:26,78,83,87,58,2,1.0013888888888889
70,2022-01-08 00:33:36,77,82,86,58,2,1.0027777777777778
71,2022-01-08 01:33:45,76,81,85,58,2,1.0025
72,2022-01-08 02:33:50,75,79,84,58,2,1.0013888888888889
73,2022-01-08 03:33:56,74,79,83,58,2,1.0016666666666667
74,2022-01-08 04:34:04,73,78,82,58,2,1.002222222222222
75,2022-01-08 05:34:10,72,77,81,58,2,1.0016666666666667
76,2022-01-08 06:34:19,71,76,80,58,2,1.0025
77,2022-01-08 07:34:27,70,75,79,58,2,1.002222222222222
78,2022-01-08 08:34:32,69,74,78,58,2,1.0013888888888889
79,2022-01-08 09:34:38,68,74,77,58,2,1.0016666666666667
80,2022-01-08 10:34:44,68,73,76,58,2,1.0016666666666667
81,2022-01-08 11:34:50,68,73,76,58,2,1.0016666666666667
82,2022-01-08 12:34:56,68,73,75,58,2,1.0016666666666667
83,2022-01-08 13:35:01,68,73,75,58,2,1.0013888888888889
84,2022-01-08 14:35:06,68,73,75,58,2,1.0013888888888889
85,2022-01-08 15:35:16,68,73,75,58,2,1.0027777777777778
86,2022-01-08 16:35:26,68,73,75,58,2,1.0027777777777778
87,2022-01-08 17:35:31,68,74,75,58,2,1.0013888888888889
88,2022-01-08 18:35:39,69,74,76,58,2,1.002222222222222
89,2022-01-08 19:35:49,69,74,76,58,2,1.0027777777777778
90,2022-01-08 20:35:58,69,74,76,58,2,1.0025
91,2022-01-08 21:36:04,69,74,76,58,2,1.0016666666666667
92,2022-01-08 22:36:11,68,75,76,58,2,1.0019444444444443
93,2022-01-08 23:36:16,68,75,76,58,2,1.0013888888888889
94,2022-01-09 00:36:23,68,75,76,58,2,1.0019444444444443
95,2022-01-09 01:36:31,68,74,75,58,2,1.002222222222222
96,2022-01-09 02:36:37,67,74,75,58,2,1.0016666666666667
97,2022-01-09 03:36:42,67,74,75,58,2,1.0013888888888889
98,2022-01-09 04:36:49,67,74,75,58,2,1.0019444444444443
99,2022-01-09 05:36:59,66,74,75,58,2,1.0027777777777778
100,2022-01-09 06:37:06,66,74,74,58,2,1.0019444444444443
101,2022-01-09 07:37:15,66,74,74,58,2,1.0025
102,2022-01-09 08:37:23,66,74,74,58,2,1.002222222222222
103,2022-01-09 09:37:29,66,73,74,58,2,1.0016666666666667
104,2022-01-09 10:37:42,65,73,74,58,2,1.003611111111111
105,2022-01-09 11:37:52,65,73,74,58,2,1.0027777777777778
106,2022-01-09 12:37:58,65,73,73,58,2,1.0016666666666667
107,2022-01-09 13:38:08,65,73,73,58,2,1.0027777777777778
108,2022-01-09 14:38:14,65,72,72,58,2,1.0016666666666667
109,2022-01-09 15:38:20,65,72,72,58,2,1.0016666666666667
110,2022-01-09 16:38:28,65,71,71,58,2,1.002222222222222
111,2022-01-09 17:38:36,64,71,70,58,2,1.002222222222222
112,2022-01-09 18:38:42,63,70,69,58,2,1.0016666666666667
113,2022-01-09 19:38:48,62,68,68,58,2,1.0016666666666667
