Country,Region,Year, GDP_pp 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1901, 613.99 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1906, 624.04 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1911, 634.25 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1916, 647.28 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1921, 662.40 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1926, 677.87 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1931, 693.71 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1936, 709.91 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1941, 726.49 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1946, 743.46 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1951, 766.75 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1956, 837.07 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1961, 857.36 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1966, 833.61 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1971, 773.70 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1976, 866.19 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1981, 896.86 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1986," 1,030.89 "
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1991, 705.45 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/1996, 617.91 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/2001, 595.04 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/2006, 887.91 
Afghanistan,"Middle East, North Africa, and Greater Arabia",1/1/2011," 1,261.35 "
Albania,Europe,1/1/1901," 1,062.01 "
Albania,Europe,1/1/1906," 1,133.49 "
Albania,Europe,1/1/1911," 1,209.42 "
