,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
446,Norte,RO,,11,,,,2020-02-25,9,1777225.0,0,0,0,0,,,
447,Norte,RO,,11,,,,2020-02-26,9,1777225.0,0,0,0,0,,,
448,Norte,RO,,11,,,,2020-02-27,9,1777225.0,0,0,0,0,,,
449,Norte,RO,,11,,,,2020-02-28,9,1777225.0,0,0,0,0,,,
450,Norte,RO,,11,,,,2020-02-29,9,1777225.0,0,0,0,0,,,
451,Norte,RO,,11,,,,2020-03-01,10,1777225.0,0,0,0,0,,,
452,Norte,RO,,11,,,,2020-03-02,10,1777225.0,0,0,0,0,,,
453,Norte,RO,,11,,,,2020-03-03,10,1777225.0,0,0,0,0,,,
454,Norte,RO,,11,,,,2020-03-04,10,1777225.0,0,0,0,0,,,
455,Norte,RO,,11,,,,2020-03-05,10,1777225.0,0,0,0,0,,,
456,Norte,RO,,11,,,,2020-03-06,10,1777225.0,0,0,0,0,,,
457,Norte,RO,,11,,,,2020-03-07,10,1777225.0,0,0,0,0,,,
458,Norte,RO,,11,,,,2020-03-08,11,1777225.0,0,0,0,0,,,
459,Norte,RO,,11,,,,2020-03-09,11,1777225.0,0,0,0,0,,,
460,Norte,RO,,11,,,,2020-03-10,11,1777225.0,0,0,0,0,,,
461,Norte,RO,,11,,,,2020-03-11,11,1777225.0,0,0,0,0,,,
462,Norte,RO,,11,,,,2020-03-12,11,1777225.0,0,0,0,0,,,
463,Norte,RO,,11,,,,2020-03-13,11,1777225.0,0,0,0,0,,,
464,Norte,RO,,11,,,,2020-03-14,11,1777225.0,0,0,0,0,,,
465,Norte,RO,,11,,,,2020-03-15,12,1777225.0,0,0,0,0,,,
466,Norte,RO,,11,,,,2020-03-16,12,1777225.0,0,0,0,0,,,
467,Norte,RO,,11,,,,2020-03-17,12,1777225.0,0,0,0,0,,,
468,Norte,RO,,11,,,,2020-03-18,12,1777225.0,0,0,0,0,,,
469,Norte,RO,,11,,,,2020-03-19,12,1777225.0,0,0,0,0,,,
470,Norte,RO,,11,,,,2020-03-20,12,1777225.0,1,1,0,0,,,
471,Norte,RO,,11,,,,2020-03-21,12,1777225.0,1,0,0,0,,,
472,Norte,RO,,11,,,,2020-03-22,13,1777225.0,3,2,0,0,,,
473,Norte,RO,,11,,,,2020-03-23,13,1777225.0,3,0,0,0,,,
474,Norte,RO,,11,,,,2020-03-24,13,1777225.0,3,0,0,0,,,
475,Norte,RO,,11,,,,2020-03-25,13,1777225.0,5,2,0,0,,,
476,Norte,RO,,11,,,,2020-03-26,13,1777225.0,5,0,0,0,,,
477,Norte,RO,,11,,,,2020-03-27,13,1777225.0,6,1,0,0,,,
478,Norte,RO,,11,,,,2020-03-28,13,1777225.0,6,0,0,0,,,
479,Norte,RO,,11,,,,2020-03-29,14,1777225.0,6,0,0,0,,,
480,Norte,RO,,11,,,,2020-03-30,14,1777225.0,6,0,0,0,,,
481,Norte,RO,,11,,,,2020-03-31,14,1777225.0,8,2,1,1,,,
482,Norte,RO,,11,,,,2020-04-01,14,1777225.0,9,1,1,0,,,
483,Norte,RO,,11,,,,2020-04-02,14,1777225.0,10,1,1,0,,,
484,Norte,RO,,11,,,,2020-04-03,14,1777225.0,10,0,1,0,,,
