datetime,symbol,open,high,low,close,volume
2022-08-24 17:35:00,BMFBOVESPA:PETR4,33.62,33.62,33.58,33.58,20000.0
2022-08-24 17:40:00,BMFBOVESPA:PETR4,33.58,33.6,33.58,33.58,16100.0
2022-08-24 17:45:00,BMFBOVESPA:PETR4,33.59,33.62,33.58,33.59,38700.0
2022-08-24 17:50:00,BMFBOVESPA:PETR4,33.58,33.59,33.53,33.55,65700.0
2022-08-24 17:55:00,BMFBOVESPA:PETR4,33.55,33.65,33.54,33.56,164800.0
2022-08-25 10:00:00,BMFBOVESPA:PETR4,34.1,34.34,34.07,34.25,1559800.0
2022-08-25 10:05:00,BMFBOVESPA:PETR4,34.23,34.29,34.06,34.2,1426300.0
2022-08-25 10:10:00,BMFBOVESPA:PETR4,34.19,34.36,34.18,34.22,1732800.0
2022-08-25 10:15:00,BMFBOVESPA:PETR4,34.22,34.24,34.16,34.2,503800.0
2022-08-25 10:20:00,BMFBOVESPA:PETR4,34.21,34.29,34.03,34.07,1507800.0
2022-08-25 10:25:00,BMFBOVESPA:PETR4,34.07,34.11,33.96,34.09,1693000.0
2022-08-25 10:30:00,BMFBOVESPA:PETR4,34.09,34.1,33.87,33.94,2087800.0
2022-08-25 10:35:00,BMFBOVESPA:PETR4,33.95,33.95,33.79,33.84,1434600.0
2022-08-25 10:40:00,BMFBOVESPA:PETR4,33.84,33.86,33.62,33.77,3642000.0
2022-08-25 10:45:00,BMFBOVESPA:PETR4,33.78,33.78,33.69,33.75,1915000.0
2022-08-25 10:50:00,BMFBOVESPA:PETR4,33.75,33.77,33.5,33.55,3098900.0
2022-08-25 10:55:00,BMFBOVESPA:PETR4,33.55,33.59,33.41,33.57,2444700.0
2022-08-25 11:00:00,BMFBOVESPA:PETR4,33.57,33.68,33.41,33.44,1895100.0
2022-08-25 11:05:00,BMFBOVESPA:PETR4,33.44,33.47,33.19,33.25,3305700.0
2022-08-25 11:10:00,BMFBOVESPA:PETR4,33.27,33.27,32.91,32.95,4376800.0
2022-08-25 11:15:00,BMFBOVESPA:PETR4,32.94,33.04,32.77,32.97,3173700.0
2022-08-25 11:20:00,BMFBOVESPA:PETR4,32.97,33.22,32.93,33.14,3258700.0
2022-08-25 11:25:00,BMFBOVESPA:PETR4,33.15,33.27,33.07,33.09,1682100.0
2022-08-25 11:30:00,BMFBOVESPA:PETR4,33.09,33.17,33.01,33.06,928900.0
2022-08-25 11:35:00,BMFBOVESPA:PETR4,33.06,33.08,32.95,33.03,1022600.0
2022-08-25 11:40:00,BMFBOVESPA:PETR4,33.05,33.06,32.86,32.9,3680100.0
2022-08-25 11:45:00,BMFBOVESPA:PETR4,32.9,32.95,32.74,32.86,2727700.0
2022-08-25 11:50:00,BMFBOVESPA:PETR4,32.87,32.91,32.73,32.77,1026700.0
2022-08-25 11:55:00,BMFBOVESPA:PETR4,32.76,32.94,32.67,32.92,2309900.0
2022-08-25 12:00:00,BMFBOVESPA:PETR4,32.92,32.93,32.77,32.84,562900.0
2022-08-25 12:05:00,BMFBOVESPA:PETR4,32.85,32.89,32.83,32.89,341700.0
2022-08-25 12:10:00,BMFBOVESPA:PETR4,32.89,32.92,32.84,32.85,378900.0
2022-08-25 12:15:00,BMFBOVESPA:PETR4,32.85,32.9,32.77,32.89,579700.0
2022-08-25 12:20:00,BMFBOVESPA:PETR4,32.89,32.9,32.84,32.84,817500.0
2022-08-25 12:25:00,BMFBOVESPA:PETR4,32.84,32.88,32.68,32.83,2897600.0
2022-08-25 12:30:00,BMFBOVESPA:PETR4,32.83,32.87,32.79,32.8,316600.0
2022-08-25 12:35:00,BMFBOVESPA:PETR4,32.8,32.81,32.75,32.8,233000.0
2022-08-25 12:40:00,BMFBOVESPA:PETR4,32.8,32.85,32.79,32.82,1081800.0
2022-08-25 12:45:00,BMFBOVESPA:PETR4,32.82,32.9,32.78,32.89,567800.0
2022-08-25 12:50:00,BMFBOVESPA:PETR4,32.89,32.9,32.84,32.87,702100.0
2022-08-25 12:55:00,BMFBOVESPA:PETR4,32.86,33.0,32.85,32.98,796200.0
2022-08-25 13:00:00,BMFBOVESPA:PETR4,32.99,33.09,32.98,33.03,644500.0
2022-08-25 13:05:00,BMFBOVESPA:PETR4,33.04,33.05,33.0,33.02,242900.0
2022-08-25 13:10:00,BMFBOVESPA:PETR4,33.02,33.05,32.95,33.01,1901100.0
2022-08-25 13:15:00,BMFBOVESPA:PETR4,33.02,33.05,32.97,33.0,180400.0
2022-08-25 13:20:00,BMFBOVESPA:PETR4,33.0,33.04,32.98,33.03,581300.0
2022-08-25 13:25:00,BMFBOVESPA:PETR4,33.04,33.13,33.04,33.12,419000.0
2022-08-25 13:30:00,BMFBOVESPA:PETR4,33.12,33.24,33.09,33.18,737900.0
2022-08-25 13:35:00,BMFBOVESPA:PETR4,33.19,33.2,33.13,33.14,482800.0
2022-08-25 13:40:00,BMFBOVESPA:PETR4,33.15,33.17,33.06,33.12,1360600.0
2022-08-25 13:45:00,BMFBOVESPA:PETR4,33.12,33.19,33.1,33.17,1021100.0
2022-08-25 13:50:00,BMFBOVESPA:PETR4,33.17,33.25,33.16,33.24,610200.0
2022-08-25 13:55:00,BMFBOVESPA:PETR4,33.24,33.33,33.2,33.31,588300.0
2022-08-25 14:00:00,BMFBOVESPA:PETR4,33.31,33.38,33.31,33.34,481100.0
2022-08-25 14:05:00,BMFBOVESPA:PETR4,33.34,33.45,33.32,33.43,738600.0
2022-08-25 14:10:00,BMFBOVESPA:PETR4,33.42,33.59,33.42,33.57,2561300.0
2022-08-25 14:15:00,BMFBOVESPA:PETR4,33.59,33.63,33.5,33.56,1840400.0
2022-08-25 14:20:00,BMFBOVESPA:PETR4,33.57,33.57,33.46,33.52,617500.0
2022-08-25 14:25:00,BMFBOVESPA:PETR4,33.52,33.58,33.4,33.41,1263200.0
2022-08-25 14:30:00,BMFBOVESPA:PETR4,33.42,33.47,33.35,33.41,1256300.0
2022-08-25 14:35:00,BMFBOVESPA:PETR4,33.43,33.43,33.36,33.39,205100.0
2022-08-25 14:40:00,BMFBOVESPA:PETR4,33.39,33.42,33.36,33.38,960600.0
2022-08-25 14:45:00,BMFBOVESPA:PETR4,33.39,33.42,33.28,33.28,561800.0
2022-08-25 14:50:00,BMFBOVESPA:PETR4,33.28,33.29,33.21,33.25,624900.0
2022-08-25 14:55:00,BMFBOVESPA:PETR4,33.25,33.34,33.22,33.3,503400.0
2022-08-25 15:00:00,BMFBOVESPA:PETR4,33.29,33.31,33.24,33.25,443700.0
2022-08-25 15:05:00,BMFBOVESPA:PETR4,33.25,33.26,33.16,33.22,591100.0
2022-08-25 15:10:00,BMFBOVESPA:PETR4,33.23,33.28,33.21,33.27,335600.0
2022-08-25 15:15:00,BMFBOVESPA:PETR4,33.27,33.28,33.18,33.23,246800.0
2022-08-25 15:20:00,BMFBOVESPA:PETR4,33.23,33.29,33.19,33.25,451700.0
2022-08-25 15:25:00,BMFBOVESPA:PETR4,33.27,33.28,33.21,33.21,185200.0
2022-08-25 15:30:00,BMFBOVESPA:PETR4,33.21,33.23,33.18,33.23,303100.0
2022-08-25 15:35:00,BMFBOVESPA:PETR4,33.23,33.23,33.2,33.21,99600.0
2022-08-25 15:40:00,BMFBOVESPA:PETR4,33.21,33.23,33.18,33.2,377000.0
2022-08-25 15:45:00,BMFBOVESPA:PETR4,33.19,33.27,33.19,33.26,432900.0
2022-08-25 15:50:00,BMFBOVESPA:PETR4,33.26,33.35,33.24,33.35,522600.0
2022-08-25 15:55:00,BMFBOVESPA:PETR4,33.35,33.39,33.31,33.38,953200.0
2022-08-25 16:00:00,BMFBOVESPA:PETR4,33.38,33.42,33.33,33.34,598300.0
2022-08-25 16:05:00,BMFBOVESPA:PETR4,33.34,33.42,33.29,33.38,538600.0
2022-08-25 16:10:00,BMFBOVESPA:PETR4,33.37,33.38,33.29,33.32,427300.0
2022-08-25 16:15:00,BMFBOVESPA:PETR4,33.32,33.34,33.25,33.34,694200.0
2022-08-25 16:20:00,BMFBOVESPA:PETR4,33.34,33.37,33.26,33.3,955900.0
2022-08-25 16:25:00,BMFBOVESPA:PETR4,33.31,33.38,33.29,33.36,642000.0
2022-08-25 16:30:00,BMFBOVESPA:PETR4,33.35,33.42,33.33,33.38,1101600.0
2022-08-25 16:35:00,BMFBOVESPA:PETR4,33.39,33.39,33.31,33.33,640500.0
2022-08-25 16:40:00,BMFBOVESPA:PETR4,33.33,33.34,33.3,33.32,821400.0
2022-08-25 16:45:00,BMFBOVESPA:PETR4,33.33,33.35,33.31,33.33,932900.0
2022-08-25 16:50:00,BMFBOVESPA:PETR4,33.33,33.37,33.25,33.25,945500.0
2022-08-25 17:05:00,BMFBOVESPA:PETR4,33.28,33.28,33.28,33.28,3878900.0
2022-08-25 17:30:00,BMFBOVESPA:PETR4,33.29,33.29,33.2,33.2,80500.0
2022-08-25 17:35:00,BMFBOVESPA:PETR4,33.21,33.22,33.2,33.22,19000.0
2022-08-25 17:40:00,BMFBOVESPA:PETR4,33.22,33.22,33.15,33.15,47200.0
2022-08-25 17:45:00,BMFBOVESPA:PETR4,33.15,33.16,33.12,33.14,44800.0
2022-08-25 17:50:00,BMFBOVESPA:PETR4,33.16,33.18,33.13,33.17,17000.0
2022-08-25 17:55:00,BMFBOVESPA:PETR4,33.17,33.19,33.06,33.06,88900.0
2022-08-26 10:00:00,BMFBOVESPA:PETR4,33.28,33.39,33.23,33.24,920200.0
2022-08-26 10:05:00,BMFBOVESPA:PETR4,33.24,33.27,32.83,33.21,3114800.0
2022-08-26 10:10:00,BMFBOVESPA:PETR4,33.21,33.24,32.78,32.8,2042800.0
2022-08-26 10:15:00,BMFBOVESPA:PETR4,32.8,32.91,32.57,32.74,2727800.0
2022-08-26 10:20:00,BMFBOVESPA:PETR4,32.75,32.81,32.63,32.65,1479600.0
2022-08-26 10:25:00,BMFBOVESPA:PETR4,32.66,32.77,32.57,32.77,1446400.0
