,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
0,Brasil,,,76,,,,2020-02-25,9,210147125.0,0,0,0,0,,,
1,Brasil,,,76,,,,2020-02-26,9,210147125.0,1,1,0,0,,,
2,Brasil,,,76,,,,2020-02-27,9,210147125.0,1,0,0,0,,,
3,Brasil,,,76,,,,2020-02-28,9,210147125.0,1,0,0,0,,,
4,Brasil,,,76,,,,2020-02-29,9,210147125.0,2,1,0,0,,,
5,Brasil,,,76,,,,2020-03-01,10,210147125.0,2,0,0,0,,,
6,Brasil,,,76,,,,2020-03-02,10,210147125.0,2,0,0,0,,,
7,Brasil,,,76,,,,2020-03-03,10,210147125.0,2,0,0,0,,,
8,Brasil,,,76,,,,2020-03-04,10,210147125.0,3,1,0,0,,,
9,Brasil,,,76,,,,2020-03-05,10,210147125.0,7,4,0,0,,,
10,Brasil,,,76,,,,2020-03-06,10,210147125.0,13,6,0,0,,,
11,Brasil,,,76,,,,2020-03-07,10,210147125.0,19,6,0,0,,,
12,Brasil,,,76,,,,2020-03-08,11,210147125.0,25,6,0,0,,,
13,Brasil,,,76,,,,2020-03-09,11,210147125.0,25,0,0,0,,,
14,Brasil,,,76,,,,2020-03-10,11,210147125.0,34,9,0,0,,,
15,Brasil,,,76,,,,2020-03-11,11,210147125.0,52,18,0,0,,,
16,Brasil,,,76,,,,2020-03-12,11,210147125.0,77,25,0,0,,,
17,Brasil,,,76,,,,2020-03-13,11,210147125.0,98,21,0,0,,,
18,Brasil,,,76,,,,2020-03-14,11,210147125.0,121,23,0,0,,,
19,Brasil,,,76,,,,2020-03-15,12,210147125.0,200,79,0,0,,,
20,Brasil,,,76,,,,2020-03-16,12,210147125.0,234,34,0,0,,,
21,Brasil,,,76,,,,2020-03-17,12,210147125.0,291,57,1,1,,,
22,Brasil,,,76,,,,2020-03-18,12,210147125.0,428,137,4,3,,,
23,Brasil,,,76,,,,2020-03-19,12,210147125.0,621,193,6,2,,,
24,Brasil,,,76,,,,2020-03-20,12,210147125.0,904,283,11,5,,,
25,Brasil,,,76,,,,2020-03-21,12,210147125.0,1128,224,18,7,,,
26,Brasil,,,76,,,,2020-03-22,13,210147125.0,1546,418,25,7,,,
27,Brasil,,,76,,,,2020-03-23,13,210147125.0,1891,345,34,9,,,
28,Brasil,,,76,,,,2020-03-24,13,210147125.0,2201,310,46,12,,,
29,Brasil,,,76,,,,2020-03-25,13,210147125.0,2433,232,57,11,,,
30,Brasil,,,76,,,,2020-03-26,13,210147125.0,2915,482,77,20,,,
31,Brasil,,,76,,,,2020-03-27,13,210147125.0,3417,502,92,15,,,
32,Brasil,,,76,,,,2020-03-28,13,210147125.0,3903,486,114,22,,,
33,Brasil,,,76,,,,2020-03-29,14,210147125.0,4256,353,136,22,,,
34,Brasil,,,76,,,,2020-03-30,14,210147125.0,4579,323,159,23,,,
35,Brasil,,,76,,,,2020-03-31,14,210147125.0,5717,1138,201,42,,,
36,Brasil,,,76,,,,2020-04-01,14,210147125.0,6834,1117,241,40,,,
37,Brasil,,,76,,,,2020-04-02,14,210147125.0,7910,1076,299,58,,,
38,Brasil,,,76,,,,2020-04-03,14,210147125.0,9056,1146,359,60,,,
39,Brasil,,,76,,,,2020-04-04,14,210147125.0,10278,1222,432,73,,,
40,Brasil,,,76,,,,2020-04-05,15,210147125.0,11130,852,486,54,,,
41,Brasil,,,76,,,,2020-04-06,15,210147125.0,12056,926,553,67,,,
42,Brasil,,,76,,,,2020-04-07,15,210147125.0,13717,1661,667,114,,,
43,Brasil,,,76,,,,2020-04-08,15,210147125.0,15927,2210,800,133,,,
44,Brasil,,,76,,,,2020-04-09,15,210147125.0,17857,1930,941,141,,,
45,Brasil,,,76,,,,2020-04-10,15,210147125.0,19638,1781,1056,115,,,
46,Brasil,,,76,,,,2020-04-11,15,210147125.0,20727,1089,1124,68,,,
47,Brasil,,,76,,,,2020-04-12,16,210147125.0,22169,1442,1223,99,,,
48,Brasil,,,76,,,,2020-04-13,16,210147125.0,23430,1261,1328,105,,,
49,Brasil,,,76,,,,2020-04-14,16,210147125.0,25262,1832,1532,204,,,
50,Brasil,,,76,,,,2020-04-15,16,210147125.0,28320,3058,1736,204,,,
51,Brasil,,,76,,,,2020-04-16,16,210147125.0,30425,2105,1924,188,,,
52,Brasil,,,76,,,,2020-04-17,16,210147125.0,33682,3257,2141,217,,,
53,Brasil,,,76,,,,2020-04-18,16,210147125.0,36599,2917,2347,206,,,
54,Brasil,,,76,,,,2020-04-19,17,210147125.0,38654,2055,2462,115,22130.0,14062.0,
55,Brasil,,,76,,,,2020-04-20,17,210147125.0,40581,1927,2575,113,22991.0,15015.0,
56,Brasil,,,76,,,,2020-04-21,17,210147125.0,43079,2498,2741,166,24325.0,16013.0,
57,Brasil,,,76,,,,2020-04-22,17,210147125.0,45757,2678,2906,165,25318.0,17533.0,
58,Brasil,,,76,,,,2020-04-23,17,210147125.0,49492,3735,3313,407,26573.0,19606.0,
